#time step 
#_initial values (t,x[0],x[1])
18.600000 0.368325 4.637015 
18.700000 0.828977 4.568290 
18.800000 1.280447 4.453530 
18.900000 1.718188 4.293957 
19.000000 2.137799 4.091242 
19.100000 2.535067 3.847488 
19.200000 2.906011 3.565212 
19.300000 3.246921 3.247315 
19.400000 3.554395 2.897053 
19.500000 3.825372 2.518007 
19.600000 4.057165 2.114043 
19.700000 4.247486 1.689274 
19.800000 4.394469 1.248018 
19.900000 4.496689 0.794755 
20.000000 4.553173 0.334082 
20.100000 4.563414 -0.129336 
20.200000 4.527371 -0.590810 
20.300000 4.445472 -1.045676 
20.400000 4.318609 -1.489343 
20.500000 4.148126 -1.917335 
20.600000 3.935809 -2.325342 
20.700000 3.683862 -2.709259 
20.800000 3.394889 -3.065229 
20.900000 3.071867 -3.389681 
21.000000 2.718113 -3.679367 
21.100000 2.337250 -3.931392 
21.200000 1.933174 -4.143247 
21.300000 1.510011 -4.312828 
21.400000 1.072075 -4.438465 
21.500000 0.623825 -4.518930 
21.600000 0.169821 -4.553455 
21.700000 -0.285323 -4.541736 
21.800000 -0.736989 -4.483940 
21.900000 -1.180595 -4.380697 
22.000000 -1.611648 -4.233098 
22.100000 -2.025786 -4.042680 
22.200000 -2.418822 -3.811415 
22.300000 -2.786786 -3.541685 
22.400000 -3.125968 -3.236258 
22.500000 -3.432951 -2.898265 
22.600000 -3.704649 -2.531161 
22.700000 -3.938337 -2.138695 
22.800000 -4.131676 -1.724868 
22.900000 -4.282739 -1.293896 
23.000000 -4.390029 -0.850166 
23.100000 -4.452497 -0.398189 
23.200000 -4.469545 0.057442 
23.300000 -4.441041 0.512101 
23.400000 -4.367311 0.961173 
23.500000 -4.249144 1.400105 
23.600000 -4.087777 1.824449 
23.700000 -3.884884 2.229906 
23.800000 -3.642563 2.612374 
23.900000 -3.363306 2.967984 
24.000000 -3.049982 3.293142 
24.100000 -2.705803 3.584565 
24.200000 -2.334292 3.839315 
24.300000 -1.939249 4.054825 
24.400000 -1.524708 4.228928 
24.500000 -1.094903 4.359879 
24.600000 -0.654216 4.446371 
24.700000 -0.207140 4.487547 
24.800000 0.241769 4.483012 
24.900000 0.687939 4.432834 
25.000000 1.126830 4.337544 
25.100000 1.553976 4.198130 
25.200000 1.965032 4.016027 
25.300000 2.355820 3.793103 
25.400000 2.722367 3.531641 
25.500000 3.060951 3.234312 
25.600000 3.368134 2.904150 
25.700000 3.640798 2.544523 
25.800000 3.876178 2.159095 
25.900000 4.071887 1.751794 
26.000000 4.225945 1.326765 
26.100000 4.336793 0.888335 
26.200000 4.403314 0.440964 
26.300000 4.424840 -0.010797 
26.400000 4.401161 -0.462353 
26.500000 4.332529 -0.909112 
26.600000 4.219650 -1.346532 
26.700000 4.063682 -1.770167 
26.800000 3.866220 -2.175709 
26.900000 3.629282 -2.559037 
27.000000 3.355284 -2.916253 
27.100000 3.047023 -3.243726 
27.200000 2.707642 -3.538127 
27.300000 2.340601 -3.796463 
27.400000 1.949640 -4.016105 
27.500000 1.538745 -4.194820 
27.600000 1.112103 -4.330788 
27.700000 0.674060 -4.422624 
27.800000 0.229081 -4.469390 
27.900000 -0.218299 -4.470607 
28.000000 -0.663520 -4.426257 
28.100000 -1.102044 -4.336784 
28.200000 -1.529401 -4.203092 
28.300000 -1.941233 -4.026533 
28.400000 -2.333338 -3.808895 
28.500000 -2.701715 -3.552381 
28.600000 -3.042604 -3.259592 
28.700000 -3.352522 -2.933496 
28.800000 -3.628302 -2.577401 
28.900000 -3.867122 -2.194920 
29.000000 -4.066535 -1.789933 
29.100000 -4.224495 -1.366551 
