#time step 
#_initial values (t,x[0],x[1])
81.700000 1.580272 4.349646 
81.800000 2.006135 4.160489 
81.900000 2.410977 3.929576 
82.000000 2.790737 3.659295 
82.100000 3.141615 3.352426 
82.200000 3.460106 3.012118 
82.300000 3.743039 2.641850 
82.400000 3.987603 2.245402 
82.500000 4.191381 1.826812 
82.600000 4.352369 1.390337 
82.700000 4.468999 0.940412 
82.800000 4.540155 0.481599 
82.900000 4.565178 0.018548 
83.000000 4.543879 -0.444054 
83.100000 4.476538 -0.901531 
83.200000 4.363898 -1.349263 
83.300000 4.207161 -1.782733 
83.400000 4.007973 -2.197573 
83.500000 3.768407 -2.589608 
83.600000 3.490943 -2.954897 
83.700000 3.178442 -3.289775 
83.800000 2.834115 -3.590885 
83.900000 2.461492 -3.855219 
84.000000 2.064386 -4.080139 
84.100000 1.646854 -4.263412 
84.200000 1.213154 -4.403225 
84.300000 0.767704 -4.498209 
84.400000 0.315038 -4.547448 
84.500000 -0.140244 -4.550490 
84.600000 -0.593519 -4.507350 
84.700000 -1.040190 -4.418512 
84.800000 -1.475729 -4.284921 
84.900000 -1.895727 -4.107973 
85.000000 -2.295938 -3.889503 
85.100000 -2.672318 -3.631764 
85.200000 -3.021069 -3.337406 
85.300000 -3.338678 -3.009445 
85.400000 -3.621949 -2.651237 
85.500000 -3.868038 -2.266441 
85.600000 -4.074481 -1.858982 
85.700000 -4.239217 -1.433013 
85.800000 -4.360611 -0.992870 
85.900000 -4.437468 -0.543030 
86.000000 -4.469046 -0.088064 
86.100000 -4.455064 0.367406 
86.200000 -4.395702 0.818758 
86.300000 -4.291602 1.261414 
86.400000 -4.143859 1.690886 
86.500000 -3.954010 2.102825 
86.600000 -3.724018 2.493059 
86.700000 -3.456253 2.857643 
86.800000 -3.153468 3.192889 
86.900000 -2.818767 3.495412 
87.000000 -2.455579 3.762161 
87.100000 -2.067618 3.990446 
87.200000 -1.658850 4.177971 
87.300000 -1.233447 4.322855 
87.400000 -0.795750 4.423648 
87.500000 -0.350221 4.479349 
87.600000 0.098598 4.489415 
87.700000 0.546136 4.453766 
87.800000 0.987839 4.372785 
87.900000 1.419209 4.247316 
88.000000 1.835861 4.078653 
88.100000 2.233557 3.868528 
88.200000 2.608255 3.619092 
88.300000 2.956149 3.332896 
88.400000 3.273705 3.012861 
88.500000 3.557701 2.662253 
88.600000 3.805255 2.284646 
88.700000 4.013858 1.883885 
88.800000 4.181396 1.464052 
88.900000 4.306174 1.029421 
89.000000 4.386934 0.584414 
89.100000 4.422862 0.133558 
89.200000 4.413603 -0.318561 
89.300000 4.359261 -0.767346 
89.400000 4.260397 -1.208233 
89.500000 4.118027 -1.636740 
89.600000 3.933607 -2.048511 
89.700000 3.709023 -2.439361 
89.800000 3.446566 -2.805315 
89.900000 3.148914 -3.142654 
90.000000 2.819104 -3.447949 
90.100000 2.460497 -3.718095 
90.200000 2.076749 -3.950345 
90.300000 1.671771 -4.142337 
90.400000 1.249690 -4.292116 
90.500000 0.814807 -4.398157 
90.600000 0.371554 -4.459379 
90.700000 -0.075553 -4.475154 
90.800000 -0.521955 -4.445318 
90.900000 -0.963105 -4.370168 
91.000000 -1.394503 -4.250461 
91.100000 -1.811751 -4.087408 
91.200000 -2.210593 -3.882659 
91.300000 -2.586961 -3.638287 
91.400000 -2.937011 -3.356770 
91.500000 -3.257171 -3.040960 
91.600000 -3.544166 -2.694061 
91.700000 -3.795063 -2.319592 
91.800000 -4.007291 -1.921352 
91.900000 -4.178675 -1.503383 
92.000000 -4.307451 -1.069930 
92.100000 -4.392291 -0.625393 
92.200000 -4.432311 -0.174290 
92.300000 -4.427083 0.278797 
92.400000 -4.376639 0.729261 
92.500000 -4.281471 1.172521 
92.600000 -4.142526 1.604067 
92.700000 -3.961195 2.019508 
92.800000 -3.739302 2.414611 
92.900000 -3.479085 2.785351 
93.000000 -3.183171 3.127946 
93.100000 -2.854552 3.438898 
93.200000 -2.496553 3.715029 
93.300000 -2.112802 3.953514 
93.400000 -1.707188 4.151905 
93.500000 -1.283826 4.308163 
93.600000 -0.847015 4.420672 
93.700000 -0.401191 4.488261 
93.800000 0.049115 4.510213 
93.900000 0.499321 4.486274 
94.000000 0.944846 4.416655 
94.100000 1.381151 4.302030 
94.200000 1.803788 4.143529 
94.300000 2.208445 3.942730 
94.400000 2.590990 3.701639 
94.500000 2.947509 3.422673 
94.600000 3.274354 3.108633 
94.700000 3.568171 2.762678 
94.800000 3.825941 2.388294 
94.900000 4.045008 1.989258 
95.000000 4.223105 1.569597 
95.100000 4.358380 1.133553 
95.200000 4.449416 0.685536 
95.300000 4.495239 0.230081 
95.400000 4.495338 -0.228198 
95.500000 4.449661 -0.684654 
95.600000 4.358622 -1.134655 
95.700000 4.223098 -1.573630 
95.800000 4.044413 -1.997116 
95.900000 3.824335 -2.400804 
96.000000 3.565050 -2.780578 
96.100000 3.269146 -3.132565 
96.200000 2.939584 -3.453165 
96.300000 2.579670 -3.739096 
96.400000 2.193019 -3.987423 
96.500000 1.783525 -4.195587 
96.600000 1.355314 -4.361434 
96.700000 0.912707 -4.483236 
96.800000 0.460179 -4.559710 
96.900000 0.002305 -4.590028 
97.000000 -0.456275 -4.573829 
97.100000 -0.910912 -4.511222 
97.200000 -1.356991 -4.402787 
97.300000 -1.789975 -4.249565 
97.400000 -2.205459 -4.053054 
97.500000 -2.599207 -3.815188 
97.600000 -2.967196 -3.538325 
97.700000 -3.305662 -3.225216 
97.800000 -3.611134 -2.878984 
97.900000 -3.880469 -2.503089 
98.000000 -4.110888 -2.101294 
98.100000 -4.299999 -1.677631 
98.200000 -4.445826 -1.236353 
98.300000 -4.546830 -0.781901 
98.400000 -4.601920 -0.318849 
98.500000 -4.610468 0.148132 
98.600000 -4.572319 0.614329 
98.700000 -4.487786 1.075030 
98.800000 -4.357652 1.525572 
98.900000 -4.183163 1.961390 
99.000000 -3.966013 2.378060 
99.100000 -3.708331 2.771349 
99.200000 -3.412656 3.137252 
99.300000 -3.081918 3.472036 
99.400000 -2.719402 3.772276 
99.500000 -2.328718 4.034893 
99.600000 -1.913768 4.257181 
99.700000 -1.478704 4.436839 
99.800000 -1.027885 4.571992 
99.900000 -0.565838 4.661211 
100.000000 -0.097208 4.703528 
