4 0.000000
9 0.000000
16 0.000000
25 0.000000
36 0.000000
49 0.000000
64 0.000000
81 0.000000
100 0.000000
121 0.000000
144 0.000000
169 0.015000
196 0.000000
225 0.000000
256 0.016000
289 0.000000
324 0.031000
361 0.031000
400 0.016000
441 0.031000
484 0.047000
529 0.047000
576 0.062000
625 0.109000
676 0.110000
729 0.140000
784 0.188000
841 0.219000
900 0.265000
961 0.328000
1024 0.391000
1089 0.453000
1156 0.547000
1225 0.657000
1296 0.796000
1369 1.000000
1444 1.141000
1521 1.312000
1600 1.500000
1681 1.750000
1764 2.000000
1849 2.359000
1936 2.594000
2025 2.984000
2116 3.625000
2209 4.469000
2304 4.437000
2401 5.235000
2500 6.157000
