4 0.000000
9 0.000000
16 0.000000
25 0.000000
36 0.000000
49 0.000000
64 0.000000
81 0.016000
100 0.015000
121 0.016000
144 0.031000
169 0.063000
196 0.110000
225 0.140000
256 0.188000
289 0.297000
324 0.421000
361 0.563000
400 0.765000
441 1.031000
484 1.359000
529 1.781000
576 2.266000
625 2.985000
676 3.610000
729 4.375000
784 4.844000
841 5.562000
900 6.313000
961 7.156000
1024 8.219000
1089 9.219000
1156 10.313000
1225 11.750000
1296 13.140000
1369 14.657000
1444 16.406000
1521 18.000000
1600 19.969000
