#Initial value of x
0    2.370370370370370 2.154434690031884
1    2.121217233163339 2.154434690031884
2    2.168935605915008 2.154434690031884
3    2.149012216708819 2.154434690031884
4    2.156601052625453 2.154434690031884
5    2.153590499767814 2.154434690031884
6    2.154766936824770 2.154434690031884
7    2.154304433581096 2.154434690031884
8    2.154485834581795 2.154434690031884
9    2.154414620371428 2.154434690031884
10    2.154442567425669 2.154434690031884
11    2.154431598418973 2.154434690031884
12    2.154435903430118 2.154434690031884
13    2.154434213803313 2.154434690031884
14    2.154434876940771 2.154434690031884
15    2.154434616674555 2.154434690031884
16    2.154434718822929 2.154434690031884
17    2.154434678732072 2.154434690031884
18    2.154434694466796 2.154434690031884
19    2.154434688291284 2.154434690031884
20    2.154434690715028 2.154434690031884
21    2.154434689763765 2.154434690031884
22    2.154434690137114 2.154434690031884
23    2.154434689990583 2.154434690031884
24    2.154434690048094 2.154434690031884
25    2.154434690025522 2.154434690031884
26    2.154434690034380 2.154434690031884
27    2.154434690030904 2.154434690031884
28    2.154434690032268 2.154434690031884
29    2.154434690031733 2.154434690031884
30    2.154434690031943 2.154434690031884
31    2.154434690031860 2.154434690031884
32    2.154434690031893 2.154434690031884
33    2.154434690031880 2.154434690031884
34    2.154434690031885 2.154434690031884
35    2.154434690031883 2.154434690031884
36    2.154434690031884 2.154434690031884
