1 1
4 1
9 2
16 9
25 16
36 25
49 36
64 48
81 62
100 78
121 96
144 115
169 136
196 158
225 182
256 208
289 235
324 264
361 294
400 326
441 359
484 394
529 430
576 468
625 507
